105,Van,Fiat,Runround,6,151D987105,6.00,2020,12,15,100034,53.3456,-6.3421,140
106,Van,Ford,Transit,4,172LH234106,6.00,2021,03,30,106000,53.7654,-6.6235,160
107,Van,Fiat,Doblo,4,171W132465,6.00,2021,02,15,123000,53.7654,-6.6235,220
108,Van,VW,Caddy,4,152M157395,6.00,2020,11,30,180071,53.7654,-6.6235,155
109,Van,Opel,Combo,4,201G134937,6.00,2021,05,11,15057,53.7654,-6.6235,140
110,Van,Renault,Traffic,5,211KE365465,6.00,2021,10,21,9057,53.7654,-6.6235,197
111,Van,Fiat,Ducato,3.5,192C334567,6.00,2020,12,22,34852,53.7654,-6.6235,250
112,Van,Mercedes,Sprinter,4,212F396734,6.00,2021,11,13,4432,53.7654,-6.6235,210
113,Van,Citroen,Berlingo,5,201D392764,6.00,2021,09,06,17553,53.7654,-6.6235,120
114,Van,Toyota,Hiace,5,172DL587486,6.00,2021,02,09,57998,53.7654,-6.6235,185
115,Truck,Ford,Ranger,3,191MN6538107,10.00,2021,05,22,12000,53.2543,-6.4444,310
116,Truck,Nissan,Navara,3,182DL777564,10.00,2021,05,24,98002,53.2543,-6.4444,305
117,Truck,Toyota,Hilux,3.2,212D475649,10.00,2021,08,27,133460,53.2543,-6.4444,355
118,Truck,VW,Amarok,3.3,161KE374658,10.00,2021,09,17,300460,53.2543,-6.4444,320
119,Truck,Isuzu,Dmax,3,171F019674,10.00,2021,09,18,200549,53.2543,-6.4444,335
120,Truck,SsangYong,Musso,3.3,161M928564,10.00,2021,07,19,240998,53.2543,-6.4444,360
121,Truck,Ford,Raptor,2.8,182D397401,10.00,2021,04,11,167543,53.2543,-6.4444,380
122,Truck,Mitsubishi,L200,3.2,172D009874,10.00,2021,02,09,178000,53.2543,-6.4444,330
123,Truck,Rivian,R1T,4,212D000003,10.00,2021,06,11,5560,53.2543,-6.4444,395

124,Truck,Tesla,Cybertruck,5,212DL000002,10.00,2021,11,18,7560,53.2543,-6.4444,390

125,4x4,Ford,Bronco,4,212D000341,4.0,2021,12,07,259,53.2543,-6.4444,5
126,4x4,Jeep,Cherokee,3.8,201KE386154,4.0,2021,03,23,15002,53.2543,-6.4444,5
127,4x4,Jeep,Wrangler,4.1,181K388964,4.0,2021,03,24,47089,53.2543,-6.4444,4
128,4x4,Land-Rover,Defender,3.9,202F222864,4.0,2021,09,04,4269,53.2543,-6.4444,5
129,4x4,Land-Rover,Discovery,4,192DL000987,4.0,2021,04,05,24900,53.2543,-6.4444,5
130,4x4,Mercedes,G-Class,3.2,201D888765,4.0,2021,01,09,56987,53.2543,-6.4444,6
131,4x4,Toyota,4Runner,4,191DL667885,4.0,2021,01,19,81234,53.2543,-6.4444,7
131,4x4,Toyota,Land-Cruiser,4,211K543789,4.0,2021,05,14,21900,53.2543,-6.4444,5
132,4x4,BMW,X7M,3.6,202D000009,4.0,2021,06,01,15900,53.2543,-6.4444,7
133,4x4,VW,Tuareg,3.9,182G008976,4.0,2021,08,02,38320,53.2543,-6.4444,7

134,Car,Nissan,370Z,2,181Mth538107,2.00,2021,06,24,12000,53.2543,-6.4444,2
135,Car,mazda,miata,2,171M725684,2.00,2021,06,24,72000,53.2543,-6.4444,2
