20,104,124,2021,10,12,53.32055555555556,-1.7297222222222222,54.0,-3.0,4147.51
21,101,125,2018,12,2,53.9979,-6.406,55.2,-7.3,15000.0
22,102,126,2022,12,3,53.3456,-6.4246,55.2,-7.3,2300.89
23,103,127,2023,9,6,53.5656,-7.0012,48.0,-3.0,7000.56
24,105,128,2021,12,15,52.0,-2.34,53.0,-3.0,2100.0
25,106,131,2024,6,7,52.78,-1.234,55.0,-2.54,800.56
26,107,135,2022,12,4,53.21,-0.98,54.87,-2.22,577.39
27,104,124,2022,1,1,53.32055555555556,-1.7297222222222222,54.0,-3.0,4147.51
28,104,124,2017,12,13,53.32055555555556,-1.7297222222222222,89.0,-3.0,51263.29
29,108,135,2021,12,12,-80.0,170.0,-170.0,80.0,46053.27
